=== [Causal Discovery] Fold 3 (3/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/metadata.json
CI(9, 13 | ()) p=0.2501 -> indep=True
CI(10, 13 | ()) p=0.0109 -> indep=True
CI(11, 13 | ()) p=0.5551 -> indep=True
CI(12, 13 | ()) p=0.3437 -> indep=True
CI(0, 6 | (1,)) p=5.481e-09 -> indep=False
CI(1, 6 | (0,)) p=7.565e-10 -> indep=False
CI(1, 7 | (6,)) p=0.0001712 -> indep=False
CI(6, 7 | (1,)) p=6.682e-08 -> indep=False
CI(0, 11 | (6,)) p=0.1095 -> indep=True
CI(6, 11 | (7,)) p=1.657e-06 -> indep=False
CI(7, 11 | (6,)) p=0.6277 -> indep=True
CI(3, 12 | (8,)) p=0.0001449 -> indep=False
CI(3, 12 | (7,)) p=3.565e-06 -> indep=False
CI(7, 12 | (8,)) p=0.0628 -> indep=True
CI(8, 12 | (3,)) p=0.0007667 -> indep=False
Saved metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/performance_metrics.json
Saved baseline metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/baseline_performance_metrics.json
Saved PAG-vs-PAG metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/pag_vs_pag_metrics.json
Found 10 differences:
  1. Missing: 1 --- 6 (DAG: directed_ij)
  2. Missing: 1 --- 7 (DAG: directed_ij)
  3. Wrong orientation: 3 --- 9 (DAG: directed_ij, PAG: bidirected)
  4. Wrong orientation: 3 --- 12 (DAG: directed_ij, PAG: bidirected)
  5. Missing: 4 --- 10 (DAG: directed_ij)
  6. Missing: 5 --- 10 (DAG: directed_ij)
  7. Wrong orientation: 8 --- 9 (DAG: directed_ij, PAG: bidirected)
  8. Wrong orientation: 8 --- 12 (DAG: directed_ij, PAG: bidirected)
  9. Wrong orientation: 9 --- 10 (DAG: directed_ij, PAG: bidirected)
